query_id,query,recall_at_top10,num_relevant_chunks,num_total_candidates,std_norm_top10,entropy_norm_top10,slope_norm_top10,top_vs_rest_ratio_top10,section_diversity_top10,query_token_len,num_top_candidates
0,Jaký je účel bezpečnostní zprávy reaktoru VR-1?,0.6666666666666666,3,10,0.34320724554666354,1.7237343434825283,-0.10927070028366315,4.170519733347546,1.0,7,10
1,Kdo je statutárním zástupcem provozovatele reaktoru VR-1?,1.0,1,10,0.30905580823128087,1.9141668602766422,-0.09549736647840815,3.7591204869358403,0.9,7,10
2,Kde se přesně nachází pracoviště reaktoru VR-1?,1.0,2,10,0.3195754135582448,1.8114589113808108,-0.09771171306681521,4.375347945174404,0.8,7,10
3,Jaké byly hlavní milníky při výstavbě a spouštění reaktoru VR-1?,0.75,4,10,0.37411660564511445,1.8381287419393935,-0.12317522037058186,2.9738906900923543,0.9,10,10
4,Jaký je rozdíl mezi nádobami H01 a H02?,1.0,4,10,0.34775442455707434,2.006502951294109,-0.11968649928237492,2.223663092387193,0.5,8,10
5,Jaké funkce zajišťuje ovládací zařízení reaktoru?,0.0,3,10,0.3249891988270754,1.6778276586981602,-0.10613613825483333,4.322064290722815,0.8,6,10
6,Jaké jsou základní komponenty ovládacího zařízení reaktoru?,1.0,1,10,0.29500083711790726,1.6683573297755097,-0.08823551374259493,6.273711050882107,1.0,7,10
7,Jaké typy experimentálních kanálů jsou na reaktoru k dispozici?,1.0,2,10,0.3125118894539731,1.7904113339525567,-0.09944784063301884,4.447993737689554,0.7,9,10
8,Jaké experimentální zařízení slouží ke studiu dynamiky reaktoru?,0.75,4,10,0.3295131065477126,1.4847346186127577,-0.09227105572111219,6.820906071325118,0.8,8,10
9,Jaký je maximální povolený tepelný výkon reaktoru (krátkodobě)?,1.0,2,10,0.3112271894997813,1.8520197514272916,-0.10225899674177973,3.818279294156071,0.7,8,10
10,"Jaké jsou základní neutronově-fyzikální charakteristiky reaktoru (hustota toku, doba života neutronů)?",1.0,2,10,0.3243726614234042,1.846268829183575,-0.10947638731833206,3.467829682175596,0.9,11,10
11,Jaké jsou definované provozní stavy reaktoru VR-1?,0.75,4,10,0.29748071324963504,1.587038876389974,-0.0854810322031816,7.003710401087008,0.8,7,10
12,Co se rozumí abnormálním provozem reaktoru VR-1?,1.0,2,10,0.3194670890082428,1.5865663349667063,-0.09717325498408669,5.80954931327266,0.9,7,10
13,Jaké nové technologie byly zavedeny na reaktoru v letech 2008-2018?,0.6666666666666666,3,10,0.33712555429998475,1.9064209287892124,-0.11594787986713394,2.7958125786678694,1.0,10,10
14,Jaké jsou základní principy bezpečného využívání jaderné energie dle § 45 atomového zákona?,0.25,4,10,0.38908439681654183,1.8077916145201265,-0.12811455042587597,2.895486159305826,1.0,13,10
15,Jak je zajištěna jaderná bezpečnost z hlediska schopnosti a stavu zařízení?,0.3333333333333333,3,10,0.3643703174175006,1.7399837428814426,-0.11624549274756692,3.6702714622876123,0.8,11,10
16,Jaká technická opatření jsou zavedena pro radiační ochranu?,0.6666666666666666,3,10,0.3124069759406668,1.8961789749906413,-0.10446154009852478,3.3958205333064693,0.8,8,10
17,Jak je zajištěna fyzická ochrana (zabezpečení) reaktoru?,0.4,5,10,0.3219659692965057,2.031991053802944,-0.11097017228060102,2.3192575255842547,0.8,7,10
18,Jaké radiační mimořádné události jsou uvažovány ve vnitřním havarijním plánu?,1.0,3,10,0.3631808881918602,1.822606732813829,-0.12118169973326702,3.115892970296358,0.8,10,10
19,Jaká vybraná zařízení reaktoru patří do bezpečnostní třídy 2?,1.0,1,10,0.3661667784587613,1.7190935311946538,-0.11729379810679308,3.710564983789099,0.8,9,10
20,Jaká vybraná zařízení reaktoru patří do bezpečnostní třídy 3?,1.0,1,10,0.3786240973501303,1.7546269815610238,-0.11703717587321222,3.506749203434245,0.9,9,10
21,Jaké je seismické ohrožení lokality reaktoru (hodnoty SL-1 a SL-2)?,1.0,2,10,0.3257261688800414,1.7379721576444453,-0.0984107419042903,4.665630255002641,0.8,10,10
22,Hrozí reaktoru nebezpečí z hlediska povodní?,0.6666666666666666,3,10,0.31207828769113405,1.7866139913326613,-0.09796710002780608,4.569573488523933,0.9,6,10
23,Jaké jsou hydrogeologické poměry v lokalitě reaktoru (hladina podzemní vody)?,0.75,4,10,0.3215480924081936,2.015044108687216,-0.10905025617730163,2.5586169173614635,0.8,10,10
24,"Jaké jsou klimatické podmínky v lokalitě (teploty, srážky, vítr)?",0.6,5,10,0.28701332930590273,1.7556855331635732,-0.08428640002115681,5.945283504880045,0.9,9,10
25,Je reaktor ohrožen pádem letadla?,0.3333333333333333,3,10,0.35410365541907085,1.75606973718746,-0.11659373943144774,3.5773556874770467,0.9,5,10
26,Jaké jsou rozměry a konstrukce haly těžkých laboratoří?,1.0,3,10,0.27973472005712335,1.6660429337665865,-0.0760747003812298,7.824714962441516,0.8,8,10
27,Jaké další místnosti kromě haly patří k provozu reaktoru?,1.0,2,10,0.3400867780552459,1.7051323110559624,-0.10599137582224608,4.385916486914064,1.0,9,10
28,Kde je umístěna rozvodna ovládacího zařízení a co obsahuje?,1.0,1,10,0.2860818021078015,1.6530851530576554,-0.07914627656571027,7.518435057979872,1.0,9,10
29,K čemu slouží havarijní jímka a kde se nachází?,1.0,1,10,0.2844197112606897,1.7849883539478975,-0.08610807900389603,5.527269131656428,0.8,9,10
30,"Jaké jsou parametry reaktorových nádob H01 a H02 (rozměry, materiál)?",0.6666666666666666,3,10,0.3233564675160578,1.6878048953613038,-0.09772855727965575,5.079710129077784,0.7,10,10
31,K čemu slouží hradítko koridoru?,1.0,2,10,0.2956327873515099,1.5131916696677317,-0.08109613247471827,8.566738868417428,0.8,5,10
32,Popiš vnitřní části reaktorové nádoby H01.,0.25,4,10,0.272452518953296,2.091646441283628,-0.09079707103628697,2.5116181741242807,0.9,6,10
33,Jaké jsou parametry tangenciálního kanálu?,1.0,3,10,0.3367824766142315,1.9997016913418282,-0.1150073002820164,2.4599776767287227,0.8,5,10
34,Jaké vertikální kanály se používají v reaktoru?,0.0,3,10,0.30482703060191396,1.5030556832498918,-0.08876862816949209,7.407309228210836,0.8,7,10
35,Kde je umístěno chrániliště paliva a jakou má kapacitu?,0.6666666666666666,3,10,0.2686153250445946,1.9310182889090735,-0.0791450281940927,4.722478170596923,0.8,9,10
36,Jak je řešeno stínění reaktoru (horizontální i vertikální)?,1.0,3,10,0.33886339695657963,1.9948555761713853,-0.1167997569635532,2.318454194707704,0.8,8,10
37,Jaké materiály jsou použity pro konstrukční části reaktoru?,0.25,4,10,0.340040312524578,1.685002544339325,-0.10601136973745695,4.493312368315332,0.9,8,10
38,Popiš konstrukci palivového článku IRT-4M.,1.0,3,10,0.32065715036722287,1.8915523336107092,-0.105437671590732,3.485188799378255,0.8,5,10
39,Jaké je množství uranu 235U v palivových článcích IRT-4M?,0.6666666666666666,3,10,0.31234537239419863,1.8579049488964086,-0.1012371654892471,3.9166699511792507,0.8,9,10
40,Jaké jsou podmínky pro manipulaci s jaderným palivem?,1.0,3,10,0.3712287983685055,1.878062197054977,-0.1267250137302928,2.6066307291290776,0.8,8,10
41,Jaké jsou doporučené parametry chladiva pro palivo IRT-4M?,0.0,2,10,0.2804892959231988,1.566648514681615,-0.0689964284214681,10.250454354209571,0.8,8,10
42,Jaké výpočetní kódy se používají pro neutronově-fyzikální výpočty?,0.3333333333333333,3,10,0.30303108763566783,2.0943531177788617,-0.10359287847544428,2.1378333240630853,0.9,8,10
43,Jaké jsou charakteristiky aktivní zóny C12?,1.0,2,10,0.2928546685425016,1.614828732566193,-0.08193495582281085,7.485944648742937,1.0,6,10
44,Popiš konstrukci a funkci absorpčních tyčí UR-70.,0.6,5,10,0.3481901662278905,1.7552204228862522,-0.11027802518407406,3.9206117595929566,1.0,7,10
45,Jaké jsou typy absorpčních tyčí podle funkce v SOŘ?,0.5,2,10,0.3230056923674837,1.9250248300632706,-0.1060018369400903,3.235592724677062,0.9,9,10
46,Jaké jsou tepelné a hydraulické charakteristiky reaktoru (chlazení)?,1.0,2,10,0.3031415924914563,1.9435708207056788,-0.09977948322994962,3.431224950449168,0.8,8,10
47,Jaké jsou mezní teploty pro palivo IRT-4M?,1.0,1,10,0.3431891784799424,1.869625617687081,-0.11417823315852296,3.124067145401386,0.8,7,10
48,Jaké funkce zajišťuje vodní hospodářství reaktoru?,0.75,4,10,0.29072738738509735,1.9810024376693731,-0.09778590864259931,3.0588596204175293,0.7,6,10
49,Jaké jsou hlavní části vodního hospodářství?,0.5,4,10,0.33276512300147565,1.923641690474193,-0.11301421895767992,2.8841028151975343,0.7,6,10
50,Jak funguje systém ochran a řízení (SOŘ) reaktoru?,0.6666666666666666,3,10,0.3170676427069812,1.6785843208248397,-0.10109022128129407,4.82966525854002,0.9,8,10
51,Jak fungují kanály provozního měření výkonu (PMV)?,1.0,2,10,0.30393495313737406,2.056494316831208,-0.10447082616619573,2.4259581979250227,0.6,7,10
